swim,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124,128
lru,0.3469,0.2854,0.2258,0.172,0.1159,0.0759,0.0584,0.0483,0.0416,0.0365,0.0325,0.0294,0.0267,0.0246,0.0229,0.0217,0.0206,0.0197,0.019,0.0184,0.0179,0.0174,0.0169,0.0164,0.0159,0.0155,0.0151,0.0147,0.0143,0.014,0.0136,0.0132
fifo,0.6737,0.6269,0.6125,0.5843,0.5565,0.5469,0.5428,0.5315,0.5289,0.5267,0.5219,0.5217,0.5203,0.518,0.5179,0.5177,0.5146,0.5119,0.5115,0.5111,0.5097,0.5034,0.5031,0.5028,0.5012,0.5008,0.4995,0.4593,0.4517,0.4491,0.4434,0.4358
rand,0.4279,0.3211,0.2506,0.195,0.1532,0.1219,0.0998,0.084,0.0715,0.062,0.055,0.0494,0.0447,0.041,0.0382,0.0353,0.0329,0.0315,0.0298,0.0284,0.0269,0.0258,0.0248,0.0239,0.023,0.0221,0.0214,0.0206,0.0202,0.0194,0.0188,0.0182
clock,0.3807,0.2935,0.2364,0.1918,0.1276,0.0893,0.0661,0.053,0.0448,0.0388,0.0345,0.031,0.0281,0.0259,0.0241,0.0226,0.0214,0.0205,0.0198,0.0191,0.0187,0.0183,0.018,0.0176,0.0172,0.0169,0.0166,0.0165,0.0162,0.016,0.0158,0.0153
