gcc,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124,128
lru,0.2438,0.1712,0.1354,0.1166,0.1051,0.0971,0.0902,0.0844,0.0796,0.0756,0.072,0.0688,0.0659,0.0635,0.0612,0.0591,0.0571,0.0554,0.0536,0.052,0.0504,0.049,0.0477,0.0467,0.0457,0.0449,0.0441,0.0434,0.0427,0.0421,0.0415,0.0408
fifo,0.716,0.716,0.7153,0.7028,0.7013,0.7012,0.6347,0.6347,0.6346,0.6309,0.6001,0.5988,0.5988,0.5983,0.4475,0.4474,0.4473,0.4473,0.4464,0.4462,0.4462,0.446,0.446,0.4459,0.4436,0.4369,0.4282,0.426,0.4236,0.4211,0.421,0.421
rand,0.3162,0.2166,0.1744,0.1503,0.1342,0.1231,0.1139,0.1067,0.1003,0.0955,0.0907,0.087,0.0836,0.0804,0.0778,0.0752,0.0726,0.0704,0.0686,0.0666,0.0651,0.0634,0.062,0.0605,0.0591,0.0579,0.0568,0.0554,0.0543,0.0534,0.052,0.0515
clock,0.277,0.1819,0.1425,0.1217,0.109,0.1004,0.0934,0.0877,0.0827,0.0783,0.0748,0.0716,0.0688,0.0663,0.0639,0.0616,0.0598,0.0579,0.0561,0.0544,0.0527,0.0511,0.0498,0.0486,0.0476,0.0467,0.046,0.0453,0.0447,0.0441,0.0436,0.043
