bzip,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124,128
lru,0.0928,0.0307,0.0039,0.0033,0.003,0.0027,0.0023,0.0021,0.0019,0.0017,0.0016,0.0015,0.0014,0.0013,0.0013,0.0013,0.0012,0.0012,0.0011,0.001,0.001,0.001,0.001,0.0009,0.0009,0.0009,0.0009,0.0008,0.0008,0.0008,0.0008,0.0008
fifo,0.627,0.6261,0.6256,0.6253,0.6236,0.6233,0.6191,0.6171,0.5898,0.589,0.5603,0.5536,0.5526,0.5515,0.5507,0.5504,0.5498,0.5497,0.5405,0.5397,0.5392,0.5384,0.5383,0.5314,0.5305,0.5303,0.53,0.5295,0.529,0.529,0.4786,0.473
rand,0.1313,0.044,0.0056,0.0044,0.0038,0.0033,0.0029,0.0026,0.0024,0.0022,0.0021,0.0019,0.0019,0.0018,0.0017,0.0016,0.0015,0.0015,0.0014,0.0014,0.0013,0.0013,0.0012,0.0012,0.0012,0.0011,0.0011,0.0011,0.001,0.001,0.0009,0.0009
clock,0.1114,0.0462,0.0041,0.0035,0.0032,0.0029,0.0024,0.0022,0.0019,0.0017,0.0017,0.0016,0.0015,0.0014,0.0014,0.0013,0.0013,0.0012,0.0011,0.001,0.001,0.001,0.001,0.001,0.0009,0.0009,0.0009,0.0009,0.0009,0.0008,0.0008,0.0008
