sixpack,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124,128
lru,0.2826,0.1765,0.1356,0.1087,0.0923,0.0811,0.0733,0.0677,0.0633,0.0596,0.0564,0.0538,0.0517,0.0494,0.046,0.0412,0.0361,0.0325,0.0307,0.0296,0.0286,0.0278,0.027,0.0263,0.0256,0.0248,0.0242,0.0235,0.0229,0.0223,0.0217,0.0211
fifo,0.7911,0.7911,0.791,0.7908,0.7896,0.7895,0.7892,0.7888,0.7886,0.7882,0.7881,0.7733,0.7725,0.7725,0.7725,0.7724,0.7723,0.7722,0.7262,0.7261,0.7261,0.7261,0.726,0.7259,0.7259,0.7259,0.7249,0.7225,0.7225,0.7224,0.7223,0.722
rand,0.3549,0.2308,0.1771,0.1452,0.1237,0.109,0.0977,0.0888,0.0813,0.0752,0.07,0.0654,0.0615,0.058,0.0547,0.0519,0.0493,0.047,0.0455,0.0429,0.0417,0.0397,0.0383,0.037,0.0358,0.0347,0.0336,0.0321,0.0314,0.0306,0.0298,0.0292
clock,0.3294,0.1918,0.1431,0.1152,0.0973,0.0853,0.0769,0.0708,0.0661,0.0621,0.0589,0.0562,0.0539,0.0509,0.0464,0.0419,0.0389,0.0362,0.0339,0.0323,0.0308,0.0297,0.0289,0.0282,0.0276,0.0269,0.0262,0.0256,0.025,0.0243,0.0238,0.0232
